genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
RM19-2621,CAS,HIF 5,2020,1,1,11,W,8,g,1.5,40,935.1,18,NA,44.7,22.16
RM19-2621,CAS,HIF 5,2020,2,1,41,M,8,g,1.5,35,855.5,17.1,NA,45.37,22.02
RM19-2621,CAS,HIF 5,2020,3,1,76,W,NA,g,NA,NA,993.8,17.4,NA,44.34,22.77
RM19-2624,CAS,HIF 5,2020,1,2,21,W,8,g,1.5,40,794.8,16.4,NA,49.4,19.7
RM19-2624,CAS,HIF 5,2020,2,2,51,M,8,g,1.5,37,701.8,16.3,NA,49.12,19.61
RM19-2624,CAS,HIF 5,2020,3,2,68,W,NA,g,NA,NA,928.2,15.8,NA,48.31,20.73
RM19-2625,CAS,HIF 5,2020,1,3,20,S,8,g,1.5,41,812.6,17,NA,48.15,21.14
RM19-2625,CAS,HIF 5,2020,2,3,39,S,8,g,1.5,42,818,16.9,NA,48.3,20.67
RM19-2625,CAS,HIF 5,2020,3,3,77,S,NA,g,NA,NA,962.9,16.5,NA,48.32,20.92
RM19-2629,CAS,HIF 5,2020,1,4,29,P,8,g,1,25,1017.9,13.7,NA,43.4,21.32
RM19-2629,CAS,HIF 5,2020,2,4,47,P,8,g,1,28,1293.6,14.3,NA,43.07,22.41
RM19-2629,CAS,HIF 5,2020,3,4,66,P,NA,g,NA,NA,1281.3,13.8,NA,43.18,22.12
RM19-2630,CAS,HIF 5,2020,1,5,13,P,8,g,1,26,1132,14.4,NA,43.91,21.54
RM19-2630,CAS,HIF 5,2020,2,5,53,P,8,g,1,27,1211.3,13.5,NA,44.06,21.36
RM19-2630,CAS,HIF 5,2020,3,5,88,P,NA,g,NA,NA,1157.5,13.2,NA,44.87,21.44
RM19-2634,CAS,HIF 5,2020,1,6,19,P,8,g,1,28,1079.3,14,NA,42.89,22.43
RM19-2634,CAS,HIF 5,2020,2,6,57,P,8,g,1,29,1176.3,13.2,NA,42.94,22.55
RM19-2634,CAS,HIF 5,2020,3,6,82,P,NA,g,NA,NA,1407.3,13.6,NA,43.43,22.22
RM19-2635,CAS,HIF 5,2020,1,7,10,P,8,g,1,26,1133.4,15.2,NA,43.34,21.91
RM19-2635,CAS,HIF 5,2020,2,7,33,P,8,g,1,26,1008.1,13.8,NA,43.22,22.04
RM19-2635,CAS,HIF 5,2020,3,7,84,P,NA,g,NA,NA,989.8,12.9,NA,43.24,21.9
RM19-2647,CAS,HIF 5,2020,1,8,9,P,8,s,1.5,27,795.2,16.1,NA,48.08,21.01
RM19-2647,CAS,HIF 5,2020,2,8,52,P,8,s,1.5,43,752,15,NA,46.92,20.55
RM19-2647,CAS,HIF 5,2020,3,8,72,P,NA,s,NA,NA,968.7,16.2,NA,48.05,20.94
RM19-2655,CAS,HIF 5,2020,1,9,25,P,8,t,1,24,1039.9,15.2,NA,43,23.66
