genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,notes,note1,note2,nir_no,date_time_of_analysis,moisture,oil_dry_basis,protein_dry_basis,linoleic_acid_dry_basis,linolenic_acid_dry_basis,oleic_acid_dry_basis,palmitic_acid_dry_basis,stearic_acid_dry_basis,bar_code,twt_moisture,twt_weight,twt_temperature,twt_date_time,...10
AG 52X9,PLY,USB Oil 5 Early,2021,1,9,1,p,33,g,1.5,37,2299.9,14.2,2,NA,NA,NA,NIR-09050,2022-02-08T11:44:03Z,6.79,21.1,44.72,61.27,10.46,11.04,11.72,4.45,2021_PLY_USB Oil 5 Early_9_AG 52X9_1_NIR-09050,NA,NA,NA,NA,NA
S16-8852C,PLY,USB Oil 5 Early,2021,1,1,2,s,34,t,1.5,36,2490.5,11.5,2,NA,NA,NA,NIR-09026,2022-02-08T11:34:28Z,6.49,22.97,40.86,59.07,8.37,14.72,12.52,4.35,2021_PLY_USB Oil 5 Early_1_S16-8852C_1_NIR-09026,NA,NA,NA,NA,NA
R16-5695,PLY,USB Oil 5 Early,2021,1,7,3,p,36,t,1.5,33,2385.8,13.8,1.5,NA,NA,NA,NIR-09044,2022-02-08T11:41:34Z,6.94,23.88,40.8,68.18,9.29,7.01,11.83,3.77,2021_PLY_USB Oil 5 Early_7_R16-5695_1_NIR-09044,NA,NA,NA,NA,NA
N17-1029,PLY,USB Oil 5 Early,2021,1,6,4,s,33,t,1.5,24,2196.9,13.5,1.5,NA,NA,NA,NIR-09041,2022-02-08T11:40:23Z,6.29,25.65,40.12,62.06,7.81,13.4,11.7,3.83,2021_PLY_USB Oil 5 Early_6_N17-1029_1_NIR-09041,NA,NA,NA,NA,NA
AG 55X7,PLY,USB Oil 5 Early,2021,1,10,5,w,31,t,1.5,28,2568.1,12.5,1.5,NA,NA,NA,NIR-09053,2022-02-08T11:45:15Z,7.02,22.48,40.88,62.98,9.26,7.93,13.52,4.29,2021_PLY_USB Oil 5 Early_10_AG 55X7_1_NIR-09053,NA,NA,NA,NA,NA
N18-235,PLY,USB Oil 5 Early,2021,1,4,6,w,31,g,1.5,32,2217.1,12.3,1.5,NA,NA,NA,NIR-09035,2022-02-08T11:38:00Z,6.67,23.72,40.56,62.34,7.96,12.47,12.4,4,2021_PLY_USB Oil 5 Early_4_N18-235_1_NIR-09035,NA,NA,NA,NA,NA
N17-559,PLY,USB Oil 5 Early,2021,1,5,7,p,34,lt,3,48,1623.8,16.2,1.5,indet,NA,NA,NIR-09038,2022-02-08T11:39:10Z,6.62,23.76,43.82,59.2,7.93,13.92,12.31,4.34,2021_PLY_USB Oil 5 Early_5_N17-559_1_NIR-09038,NA,NA,NA,NA,NA
R16-1445,PLY,USB Oil 5 Early,2021,1,8,8,s,33,g,2,36,2202.4,12.9,1.5,NA,NA,NA,NIR-09047,2022-02-08T11:42:47Z,7.33,22.56,42.25,59.34,8.17,17.72,11.65,3.78,2021_PLY_USB Oil 5 Early_8_R16-1445_1_NIR-09047,NA,NA,NA,NA,NA
S14-9017R,PLY,USB Oil 5 Early,2021,1,2,9,w,32,g,1,33,2343.9,12,2,NA,NA,NA,NIR-09029,2022-02-08T11:35:40Z,6.25,24.85,39.65,60.08,9.88,9.36,12.19,4.84,2021_PLY_USB Oil 5 Early_2_S14-9017R_1_NIR-09029,NA,NA,NA,NA,NA
S16-9090C,PLY,USB Oil 5 Early,2021,1,3,10,w,33,g,1.5,33,2214.4,12.2,1.5,NA,NA,NA,NIR-09032,2022-02-08T11:36:52Z,7.35,22.9,41.44,61.04,8.52,14.35,11.86,3.9,2021_PLY_USB Oil 5 Early_3_S16-9090C_1_NIR-09032,NA,NA,NA,NA,NA
N18-235,PLY,USB Oil 5 Early,2021,2,4,11,w,31,g,1,24,1869.9,11.3,1.5,NA,NA,NA,NIR-09036,2022-02-08T11:38:25Z,6.94,23.7,41.45,60.91,8.34,14.88,12,4.57,2021_PLY_USB Oil 5 Early_4_N18-235_2_NIR-09036,NA,NA,NA,NA,NA
S16-9090C,PLY,USB Oil 5 Early,2021,2,3,12,w,34,g,1.5,35,2491.4,11.3,1.5,NA,NA,NA,NIR-09033,2022-02-08T11:37:14Z,6.74,23.26,39.95,62.66,8.25,12.95,13.16,3.9,2021_PLY_USB Oil 5 Early_3_S16-9090C_2_NIR-09033,NA,NA,NA,NA,NA
S16-8852C,PLY,USB Oil 5 Early,2021,2,1,13,s,35,t,1.5,33,2422.2,12,1.5,NA,NA,NA,NIR-09027,2022-02-08T11:34:51Z,6.52,23.13,40.47,60.83,8.29,13.39,12.68,4.65,2021_PLY_USB Oil 5 Early_1_S16-8852C_2_NIR-09027,NA,NA,NA,NA,NA
R16-5695,PLY,USB Oil 5 Early,2021,2,7,14,p,26,t,1,31,2406.6,13.9,1.5,NA,NA,NA,NIR-09045,2022-02-08T11:41:58Z,7.12,23.05,42.04,64.17,9.61,9.69,13.08,4.1,2021_PLY_USB Oil 5 Early_7_R16-5695_2_NIR-09045,NA,NA,NA,NA,NA
AG 52X9,PLY,USB Oil 5 Early,2021,2,9,15,p,34,g,1.5,44,2255.3,14,2,NA,NA,NA,NIR-09051,2022-02-08T11:44:26Z,6.77,22.05,43.96,60.16,9.41,13.76,11.75,4.58,2021_PLY_USB Oil 5 Early_9_AG 52X9_2_NIR-09051,NA,NA,NA,NA,NA
S14-9017R,PLY,USB Oil 5 Early,2021,2,2,16,w,36,g,1.5,29,2042.5,13,2,NA,NA,NA,NIR-09030,2022-02-08T11:36:03Z,6.27,23.93,41.26,60.41,10.01,10.32,11.93,4.75,2021_PLY_USB Oil 5 Early_2_S14-9017R_2_NIR-09030,NA,NA,NA,NA,NA
AG 55X7,PLY,USB Oil 5 Early,2021,2,10,17,w,33,t,1,25,2539.4,11.7,1.5,NA,NA,NA,NIR-09054,2022-02-08T11:45:41Z,7.38,22.57,40.82,61.56,9.47,9.73,13.25,4.86,2021_PLY_USB Oil 5 Early_10_AG 55X7_2_NIR-09054,NA,NA,NA,NA,NA
N17-1029,PLY,USB Oil 5 Early,2021,2,6,18,s,30,t,1,21,1778.5,13,1.5,thin,NA,NA,NIR-09042,2022-02-08T11:40:48Z,6.89,24.95,40.24,62.6,7.36,13.22,11.76,3.84,2021_PLY_USB Oil 5 Early_6_N17-1029_2_NIR-09042,NA,NA,NA,NA,NA
